ID,labels,cpe,description,cwe_id,cwe_name
CVE-2020-2091,"['maven:org.jenkins-ci.plugins:ec2', 'maven:org.jvnet.hudson.plugins:ec2']",['jenkins amazon_ec2'],A missing permission check in Jenkins Amazon EC2 Plugin 1.47 and earlier allows attackers with Overall/Read permission to connect to an attacker-specified URL within the AWS region using attacker-specified credentials IDs obtained through another method.,CWE-862,Missing Authorization
CVE-2013-1814,['maven:org.apache.rave:rave-web'],['apache rave'],"The users/get program in the User RPC API in Apache Rave 0.11 through 0.20 allows remote authenticated users to obtain sensitive information about all user accounts via the offset parameter, as demonstrated by discovering password hashes in the password field of a response.",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2010-5327,"['maven:com.liferay.portal:com.liferay.portal.impl', 'maven:com.liferay.portal:portal-impl']",['liferay liferay_portal'],Liferay Portal through 6.2.10 allows remote authenticated users to execute arbitrary shell commands via a crafted Velocity template.,,
CVE-2014-0095,"['maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:tomcat-coyote']",['apache tomcat'],"java/org/apache/coyote/ajp/AbstractAjpProcessor.java in Apache Tomcat 8.x before 8.0.4 allows remote attackers to cause a denial of service (thread consumption) by using a ""Content-Length: 0"" AJP request to trigger a hang in request processing.",CWE-20,Improper Input Validation
CVE-2014-0193,"['maven:io.netty:netty-all', 'maven:io.netty:netty', 'maven:io.netty:netty-codec-http']",['netty netty'],"WebSocket08FrameDecoder in Netty 3.6.x before 3.6.9, 3.7.x before 3.7.1, 3.8.x before 3.8.2, 3.9.x before 3.9.1, and 4.0.x before 4.0.19 allows remote attackers to cause a denial of service (memory consumption) via a TextWebSocketFrame followed by a long stream of ContinuationWebSocketFrames.",,
CVE-2019-10311,['maven:org.jenkins-ci.plugins:ansible-tower'],['jenkins ansible_tower'],"A missing permission check in Jenkins Ansible Tower Plugin 0.9.1 and earlier in the TowerInstallation.TowerInstallationDescriptor#doTestTowerConnection form validation method allowed attackers with Overall/Read permission to connect to an attacker-specified URL using attacker-specified credentials IDs obtained through another method, capturing credentials stored in Jenkins.",CWE-862,Missing Authorization
CVE-2014-7827,['maven:org.picketlink:picketlink-federation'],['redhat jboss_enterprise_application_platform'],"The org.jboss.security.plugins.mapping.JBossMappingManager implementation in JBoss Security in Red Hat JBoss Enterprise Application Platform (EAP) before 6.3.3 uses the default security domain when a security domain is undefined, which allows remote authenticated users to bypass intended access restrictions by leveraging credentials on the default domain for a role that is also on the application domain.",,
CVE-2019-1003092,['maven:org.jenkins-ci.plugins:nomad'],['jenkins nomad'],A cross-site request forgery vulnerability in Jenkins Nomad Plugin in the NomadCloud.DescriptorImpl#doTestConnection form validation method allows attackers to initiate a connection to an attacker-specified server.,CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2019-10380,['maven:org.jenkins-ci.plugins:simple-travis-runner'],['jenkins simple_travis_pipeline_runner'],"Jenkins Simple Travis Pipeline Runner Plugin 1.0 and earlier specifies unsafe values in its custom Script Security whitelist, allowing attackers able to execute Script Security protected scripts to execute arbitrary code.",,
CVE-2018-1999033,['maven:org.jenkins-ci.plugins:anchore-container-scanner'],['anchore container_image_scanner'],An exposure of sensitive information vulnerability exists in Jenkins Anchore Container Image Scanner Plugin 10.16 and earlier in AnchoreBuilder.java that allows attackers with Item/ExtendedRead permission or file system access to the Jenkins master to obtain the password stored in this plugin's configuration.,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2018-19530,['maven:com.github.httl:httl'],['httl_project httl'],HTTL (aka Hyper-Text Template Language) through 1.0.11 allows remote command execution because the decodeXml function uses XStream unsafely when configured with an xml.codec=httl.spi.codecs.XstreamCodec setting.,CWE-20,Improper Input Validation
CVE-2020-13925,"['maven:org.apache.kylin:kylin-core-common', 'maven:org.apache.kylin:kylin-server-base']",['apache kylin'],"Similar to CVE-2020-1956, Kylin has one more restful API which concatenates the API inputs into OS commands and then executes them on the server; while the reported API misses necessary input validation, which causes the hackers to have the possibility to execute OS command remotely. Users of all previous versions after 2.3 should upgrade to 3.1.0.",CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CVE-2020-11009,['maven:org.rundeck:rundeck'],['pagerduty rundeck'],"In Rundeck before version 3.2.6, authenticated users can craft a request that reveals Execution data and logs and Job details that they are not authorized to see. Depending on the configuration and the way that Rundeck is used, this could result in anything between a high severity risk, or a very low risk. If access is tightly restricted and all users on the system have access to all projects, this is not really much of an issue. If access is wider and allows login for users that do not have access to any projects, or project access is restricted, there is a larger issue. If access is meant to be restricted and secrets, sensitive data, or intellectual property are exposed in Rundeck execution output and job data, the risk becomes much higher. This vulnerability is patched in version 3.2.6",CWE-639,Authorization Bypass Through User-Controlled Key
CVE-2019-10379,['maven:org.jenkins-ci.plugins:gcm-notification'],['google cloud_messaging_notification'],Jenkins Google Cloud Messaging Notification Plugin 1.0 and earlier stores credentials unencrypted in its global configuration file on the Jenkins master where they can be viewed by users with access to the master file system.,CWE-522,Insufficiently Protected Credentials
CVE-2021-21290,"['maven:io.netty:netty-all', 'maven:io.netty:netty-handler', 'maven:io.netty:netty-codec-http']","['netty netty', 'debian debian_linux', 'quarkus quarkus', 'oracle banking_trade_finance_process_management', 'oracle banking_credit_facilities_process_management', 'oracle banking_corporate_lending_process_management', 'oracle nosql_database', 'oracle communications_messaging_server', 'oracle communications_design_studio', 'oracle communications_brm_-_elastic_charging_engine', 'netapp snapcenter', 'netapp active_iq_unified_manager', 'netapp cloud_secure_agent']","Netty is an open-source, asynchronous event-driven network application framework for rapid development of maintainable high performance protocol servers & clients. In Netty before version 4.1.59.Final there is a vulnerability on Unix-like systems involving an insecure temp file. When netty's multipart decoders are used local information disclosure can occur via the local system temporary directory if temporary storing uploads on the disk is enabled. On unix-like systems, the temporary directory is shared between all user. As such, writing to this directory using APIs that do not explicitly set the file/directory permissions can lead to information disclosure. Of note, this does not impact modern MacOS Operating Systems. The method ""File.createTempFile"" on unix-like systems creates a random file, but, by default will create this file with the permissions ""-rw-r--r--"". Thus, if sensitive information is written to this file, other local users can read this information. This is the case in netty's ""AbstractDiskHttpData"" is vulnerable. This has been fixed in version 4.1.59.Final. As a workaround, one may specify your own ""java.io.tmpdir"" when you start the JVM or use ""DefaultHttpDataFactory.setBaseDir(...)"" to set the directory to something that is only readable by the current user.",CWE-378,Creation of Temporary File With Insecure Permissions
CVE-2015-5324,['maven:org.jenkins-ci.main:jenkins-core'],"['jenkins jenkins', 'redhat openshift']",Jenkins before 1.638 and LTS before 1.625.2 allow remote attackers to obtain sensitive information via a direct request to queue/api.,,
CVE-2019-10747,['maven:org.webjars.npm:set-value'],['set-value_project set-value'],"set-value is vulnerable to Prototype Pollution in versions lower than 3.0.1. The function mixin-deep could be tricked into adding or modifying properties of Object.prototype using any of the constructor, prototype and _proto_ payloads.",CWE-400,Uncontrolled Resource Consumption
CVE-2017-7672,['maven:org.apache.struts:struts2-core'],['apache struts'],"If an application allows enter an URL in a form field and built-in URLValidator is used, it is possible to prepare a special URL which will be used to overload server process when performing validation of the URL. Solution is to upgrade to Apache Struts version 2.5.12.",CWE-20,Improper Input Validation
CVE-2009-0038,"['maven:org.apache.geronimo.framework:geronimo-kernel', 'maven:org.apache.geronimo.framework:geronimo-security']",['apache geronimo'],"Multiple cross-site scripting (XSS) vulnerabilities in the web administration console in Apache Geronimo Application Server 2.1 through 2.1.3 allow remote attackers to inject arbitrary web script or HTML via the (1) name, (2) ip, (3) username, or (4) description parameter to console/portal/Server/Monitoring; or (5) the PATH_INFO to the default URI under console/portal/.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2020-7020,['maven:org.elasticsearch:elasticsearch'],['elastic elasticsearch'],Elasticsearch versions before 6.8.13 and 7.9.2 contain a document disclosure flaw when Document or Field Level Security is used. Search queries do not properly preserve security permissions when executing certain complex queries. This could result in the search disclosing the existence of documents the attacker should not be able to view. This could result in an attacker gaining additional insight into potentially sensitive indices.,CWE-269,Improper Privilege Management
CVE-2020-2183,['maven:org.jenkins-ci.plugins:copyartifact'],['jenkins copy_artifact'],"Jenkins Copy Artifact Plugin 1.43.1 and earlier performs improper permission checks, allowing attackers to copy artifacts from jobs they have no permission to access.",CWE-276,Incorrect Default Permissions
CVE-2020-12719,['maven:org.wso2.carbon.analytics-common:org.wso2.carbon.event.publisher.core'],"['wso2 identity_server_analytics', 'wso2 identity_server', 'wso2 identity_server_as_key_manager', 'wso2 enterprise_integrator', 'wso2 api_microgateway', 'wso2 api_manager_analytics', 'wso2 api_manager']","XXE during an EventPublisher update can occur in Management Console in WSO2 API Manager 3.0.0 and earlier, API Manager Analytics 2.5.0 and earlier, API Microgateway 2.2.0, Enterprise Integrator 6.4.0 and earlier, IS as Key Manager 5.9.0 and earlier, Identity Server 5.9.0 and earlier, and Identity Server Analytics 5.6.0 and earlier.",CWE-611,Improper Restriction of XML External Entity Reference
CVE-2018-1229,['maven:org.springframework.batch:spring-batch-admin-manager'],['pivotal_software spring_batch_admin'],"Pivotal Spring Batch Admin, all versions, contains a stored XSS vulnerability in the file upload feature. An unauthenticated malicious user with network access to Spring Batch Admin could store an arbitrary web script that would be executed by other users. This issue has not been patched because Spring Batch Admin has reached end of life.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2020-2250,['maven:org.jenkins-ci.plugins:soapui-pro-functional-testing'],['jenkins soapui_pro_functional_testing'],"Jenkins SoapUI Pro Functional Testing Plugin 1.3 and earlier stores project passwords unencrypted in job config.xml files on the Jenkins controller where they can be viewed by attackers with Extended Read permission, or access to the Jenkins controller file system.",CWE-311,Missing Encryption of Sensitive Data
CVE-2017-12617,"['maven:org.apache.tomcat:tomcat-util', 'maven:org.apache.tomcat:catalina', 'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat.embed:tomcat-embed-core']",['apache tomcat'],"When running Apache Tomcat versions 9.0.0.M1 to 9.0.0, 8.5.0 to 8.5.22, 8.0.0.RC1 to 8.0.46 and 7.0.0 to 7.0.81 with HTTP PUTs enabled (e.g. via setting the readonly initialisation parameter of the Default servlet to false) it was possible to upload a JSP file to the server via a specially crafted request. This JSP could then be requested and any code it contained would be executed by the server.",CWE-434,Unrestricted Upload of File with Dangerous Type
CVE-2018-1999004,['maven:org.jenkins-ci.main:jenkins-core'],"['jenkins jenkins', 'oracle communications_cloud_native_core_automated_test_suite']","A Improper authorization vulnerability exists in Jenkins 2.132 and earlier, 2.121.1 and earlier in SlaveComputer.java that allows attackers with Overall/Read permission to initiate agent launches, and abort in-progress agent launches.",CWE-863,Incorrect Authorization
CVE-2020-8920,['maven:com.google.gerrit:gerrit-plugin-api'],['google gerrit'],"An information leak vulnerability exists in Gerrit versions prior to 2.14.22, 2.15.21, 2.16.25, 3.0.15, 3.1.10, 3.2.5 where an overoptimization with the FilteredRepository wrapper skips the verification of access on All-Users repositories, allowing an attacker to get read access to all users' personal information associated with their accounts.",,
CVE-2020-1953,['maven:org.apache.commons:commons-configuration2'],"['apache commons_configuration', 'oracle database_server', 'oracle healthcare_foundation']","Apache Commons Configuration uses a third-party library to parse YAML files which by default allows the instantiation of classes if the YAML includes special statements. Apache Commons Configuration versions 2.2, 2.3, 2.4, 2.5, 2.6 did not change the default settings of this library. So if a YAML file was loaded from an untrusted source, it could therefore load and execute code out of the control of the host application.",,
CVE-2016-4216,['maven:com.adobe.xmp:xmpcore'],['adobe xmp_toolkit'],"XMPCore in Adobe XMP Toolkit for Java before 5.1.3 allows remote attackers to read arbitrary files via XML data containing an external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue.",,
CVE-2013-1965,"['maven:org.apache.struts.xwork:xwork-core', 'maven:org.apache.struts:struts2-showcase', 'maven:org.apache.struts:struts2-core']","['apache struts', 'apache struts2-showcase']","Apache Struts Showcase App 2.0.0 through 2.3.13, as used in Struts 2 before 2.3.14.3, allows remote attackers to execute arbitrary OGNL code via a crafted parameter name that is not properly handled when invoking a redirect.",CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2019-10291,['maven:org.jenkins-ci.plugins:netsparker-cloud-scan'],['jenkins netsparker_cloud_scan'],Jenkins Netsparker Cloud Scan Plugin 1.1.5 and older stored credentials unencrypted in its global configuration file on the Jenkins master where they could be viewed by users with access to the master file system.,CWE-522,Insufficiently Protected Credentials
CVE-2012-3451,"['maven:org.apache.cxf:cxf-rt-bindings-soap', 'maven:org.apache.cxf:cxf-rt-core']",['apache cxf'],"Apache CXF before 2.4.9, 2.5.x before 2.5.5, and 2.6.x before 2.6.2 allows remote attackers to execute unintended web-service operations by sending a header with a SOAP Action String that is inconsistent with the message body.",CWE-20,Improper Input Validation
CVE-2011-2730,['maven:org.springframework:spring-web'],['springsource spring_framework'],"VMware SpringSource Spring Framework before 2.5.6.SEC03, 2.5.7.SR023, and 3.x before 3.0.6, when a container supports Expression Language (EL), evaluates EL expressions in tags twice, which allows remote attackers to obtain sensitive information via a (1) name attribute in a (a) spring:hasBindErrors tag; (2) path attribute in a (b) spring:bind or (c) spring:nestedpath tag; (3) arguments, (4) code, (5) text, (6) var, (7) scope, or (8) message attribute in a (d) spring:message or (e) spring:theme tag; or (9) var, (10) scope, or (11) value attribute in a (f) spring:transform tag, aka ""Expression Language Injection.""",,
CVE-2018-18389,"['maven:org.neo4j:neo4j-enterprise', 'maven:org.neo4j:neo4j-security-enterprise']",['neo4j neo4j'],"Due to incorrect access control in Neo4j Enterprise Database Server 3.4.x before 3.4.9, the setting of LDAP for authentication with STARTTLS, and System Account for authorization, allows an attacker to log into the server by sending any valid username with an arbitrary password.",CWE-287,Improper Authentication
CVE-2020-2321,['maven:org.jenkins-ci.plugins:shelve-project-plugin'],['jenkins shelve_project'],"A cross-site request forgery (CSRF) vulnerability in Jenkins Shelve Project Plugin 3.0 and earlier allows attackers to shelve, unshelve, or delete a project.",CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2017-12974,['maven:com.nimbusds:nimbus-jose-jwt'],['connect2id nimbus_jose\\+jwt'],"Nimbus JOSE+JWT before 4.36 proceeds with ECKey construction without ensuring that the public x and y coordinates are on the specified curve, which allows attackers to conduct an Invalid Curve Attack in environments where the JCE provider lacks the applicable curve validation.",CWE-347,Improper Verification of Cryptographic Signature
CVE-2014-0075,"['maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat:coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core']",['apache tomcat'],"Integer overflow in the parseChunkHeader function in java/org/apache/coyote/http11/filters/ChunkedInputFilter.java in Apache Tomcat before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4 allows remote attackers to cause a denial of service (resource consumption) via a malformed chunk size in chunked transfer coding of a request during the streaming of data.",,
CVE-2019-10471,['maven:org.jenkins-ci.plugins:libvirt-slave'],['jenkins libvirt_slaves'],"A cross-site request forgery vulnerability in Jenkins Libvirt Slaves Plugin allows attackers to connect to an attacker-specified SSH server using attacker-specified credentials IDs obtained through another method, capturing credentials stored in Jenkins.",CWE-352,Cross-Site Request Forgery (CSRF)
CVE-2018-15531,['maven:net.bull.javamelody:javamelody-core'],['javamelody_project javamelody'],JavaMelody before 1.74.0 has XXE via parseSoapMethodName in bull/javamelody/PayloadNameRequestWrapper.java.,CWE-611,Improper Restriction of XML External Entity Reference
CVE-2017-5643,['maven:org.apache.camel:camel-core'],['apache camel'],Apache Camel's Validation Component is vulnerable against SSRF via remote DTDs and XXE.,CWE-918,Server-Side Request Forgery (SSRF)
CVE-2020-6950,['maven:org.glassfish:jakarta.faces'],"['eclipse mojarra', 'oracle solaris_cluster', 'oracle banking_platform', 'oracle communications_network_integrity', 'oracle communications_pricing_design_center', 'oracle banking_enterprise_default_management', 'oracle retail_merchandising_system', 'oracle time_and_labor', 'oracle hyperion_calculation_manager']",Directory traversal in Eclipse Mojarra before 2.3.14 allows attackers to read arbitrary files via the loc parameter or con parameter.,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2018-7747,['maven:org.webjars.npm:parsleyjs'],['calderalabs caldera_forms'],"Multiple cross-site scripting (XSS) vulnerabilities in the Caldera Forms plugin before 1.6.0-rc.1 for WordPress allow remote attackers to inject arbitrary web script or HTML via vectors involving (1) a greeting message, (2) the email transaction log, or (3) an imported form.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2019-20149,['maven:org.webjars.npm:kind-of'],['kind-of_project kind-of'],"ctorName in index.js in kind-of v6.0.2 allows external user input to overwrite certain internal attributes via a conflicting name, as demonstrated by 'constructor': {'name':'Symbol'}. Hence, a crafted payload can overwrite this builtin attribute to manipulate the type detection result.",CWE-668,Exposure of Resource to Wrong Sphere
CVE-2012-5881,['maven:org.webjars:yui'],['yahoo yui'],"Cross-site scripting (XSS) vulnerability in the Flash component infrastructure in YUI 2.4.0 through 2.9.0 allows remote attackers to inject arbitrary web script or HTML via vectors related to charts.swf, a similar issue to CVE-2010-4207.",CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2017-9096,"['maven:com.itextpdf:itext-pdfa', 'maven:com.itextpdf:itextg', 'maven:com.lowagie:itext', 'maven:com.itextpdf:itextpdf']",['itextpdf itext'],"The XML parsers in iText before 5.5.12 and 7.x before 7.0.3 do not disable external entities, which might allow remote attackers to conduct XML external entity (XXE) attacks via a crafted PDF.",CWE-611,Improper Restriction of XML External Entity Reference
CVE-2021-36152,['maven:org.apache.gobblin:gobblin-utility'],['apache gobblin'],Apache Gobblin trusts all certificates used for LDAP connections in Gobblin-as-a-Service. This affects versions <= 0.15.0. Users should update to version 0.16.0 which addresses this issue.,,
CVE-2013-6468,['maven:org.drools:drools-workbench-models-test-scenarios'],"['redhat jboss_bpm_suite', 'redhat jboss_enterprise_brms_platform', 'redhat jboss_drools']","JBoss Drools, Red Hat JBoss BRMS before 6.0.1, and Red Hat JBoss BPM Suite before 6.0.1 allows remote authenticated users to execute arbitrary Java code via a (1) MVFLEX Expression Language (MVEL) or (2) Drools expression.",CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2022-23640,['maven:com.monitorjbl:xlsx-streamer'],['excel_streaming_reader_project excel_streaming_reader'],"Excel-Streaming-Reader is an easy-to-use implementation of a streaming Excel reader using Apache POI. Prior to xlsx-streamer 2.1.0, the XML parser that was used did apply all the necessary settings to prevent XML Entity Expansion issues. Upgrade to version 2.1.0 to receive a patch. There is no known workaround.",CWE-776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion')
CVE-2020-15250,"['maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.junit', 'maven:junit:junit']","['junit junit4', 'debian debian_linux', 'apache pluto', 'oracle communications_cloud_native_core_policy']","In JUnit4 from version 4.7 and before 4.13.1, the test rule TemporaryFolder contains a local information disclosure vulnerability. On Unix like systems, the system's temporary directory is shared between all users on that system. Because of this, when files and directories are written into this directory they are, by default, readable by other users on that same system. This vulnerability does not allow other users to overwrite the contents of these directories or files. This is purely an information disclosure vulnerability. This vulnerability impacts you if the JUnit tests write sensitive information, like API keys or passwords, into the temporary folder, and the JUnit tests execute in an environment where the OS has other untrusted users. Because certain JDK file system APIs were only added in JDK 1.7, this this fix is dependent upon the version of the JDK you are using. For Java 1.7 and higher users: this vulnerability is fixed in 4.13.1. For Java 1.6 and lower users: no patch is available, you must use the workaround below. If you are unable to patch, or are stuck running on Java 1.6, specifying the `java.io.tmpdir` system environment variable to a directory that is exclusively owned by the executing user will fix this vulnerability. For more information, including an example of vulnerable code, see the referenced GitHub Security Advisory.",CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-2013-4322,"['maven:tomcat:tomcat-coyote', 'maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:coyote']",['apache tomcat'],"Apache Tomcat before 6.0.39, 7.x before 7.0.50, and 8.x before 8.0.0-RC10 processes chunked transfer coding without properly handling (1) a large total amount of chunked data or (2) whitespace characters in an HTTP header value within a trailer field, which allows remote attackers to cause a denial of service by streaming data.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2012-3544.",CWE-20,Improper Input Validation
CVE-2016-0706,"['maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat:catalina']","['canonical ubuntu_linux', 'debian debian_linux', 'apache tomcat']","Apache Tomcat 6.x before 6.0.45, 7.x before 7.0.68, 8.x before 8.0.31, and 9.x before 9.0.0.M2 does not place org.apache.catalina.manager.StatusManagerServlet on the org/apache/catalina/core/RestrictedServlets.properties list, which allows remote authenticated users to bypass intended SecurityManager restrictions and read arbitrary HTTP requests, and consequently discover session ID values, via a crafted web application.",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2020-7598,"['maven:org.webjars:npm', 'maven:org.webjars.npm:bourbon-neat', 'maven:org.webjars.bower:npm', 'maven:org.webjars.npm:minimist']","['substack minimist', 'opensuse leap']","minimist before 1.2.2 could be tricked into adding or modifying properties of Object.prototype using a ""constructor"" or ""__proto__"" payload.",CWE-1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')
CVE-2013-4286,"['maven:org.apache.tomcat:tomcat-coyote', 'maven:org.apache.tomcat.embed:tomcat-embed-core', 'maven:org.apache.tomcat:coyote']",['apache tomcat'],"Apache Tomcat before 6.0.39, 7.x before 7.0.47, and 8.x before 8.0.0-RC3, when an HTTP connector or AJP connector is used, does not properly handle certain inconsistent HTTP request headers, which allows remote attackers to trigger incorrect identification of a request's length and conduct request-smuggling attacks via (1) multiple Content-Length headers or (2) a Content-Length header and a ""Transfer-Encoding: chunked"" header.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2005-2090.",CWE-20,Improper Input Validation
CVE-2016-1000338,"['maven:org.bouncycastle:bcprov-jdk15', 'maven:org.bouncycastle:bcprov-ext-debug-jdk15on', 'maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.bcprov-jdk15on', 'maven:org.bouncycastle:bcprov-debug-jdk15on', 'maven:org.bouncycastle:bcprov-ext-jdk14', 'maven:org.bouncycastle:bcprov-debug-jdk14', 'maven:org.bouncycastle:bcprov-jdk14', 'maven:org.bouncycastle:bcprov-jdk15on', 'maven:org.bouncycastle:bcprov-ext-jdk15on']",['bouncycastle legion-of-the-bouncy-castle-java-crytography-api'],"In Bouncy Castle JCE Provider version 1.55 and earlier the DSA does not fully validate ASN.1 encoding of signature on verification. It is possible to inject extra elements in the sequence making up the signature and still have it validate, which in some cases may allow the introduction of 'invisible' data into a signed structure.",CWE-347,Improper Verification of Cryptographic Signature
CVE-2020-2120,['maven:org.jenkins-ci.plugins:fitnesse'],['jenkins fitnesse'],Jenkins FitNesse Plugin 1.30 and earlier does not configure the XML parser to prevent XML external entity (XXE) attacks.,CWE-611,Improper Restriction of XML External Entity Reference
CVE-2019-6002,['maven:com.linecorp.centraldogma:centraldogma-server'],['central_dogma_project central_dogma'],Cross-site scripting vulnerability in Central Dogma 0.17.0 to 0.40.1 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2014-0097,"['maven:org.springframework.security:spring-security-core', 'maven:org.springframework.security:spring-security-ldap']",['vmware spring_security'],The ActiveDirectoryLdapAuthenticator in Spring Security 3.2.0 to 3.2.1 and 3.1.0 to 3.1.5 does not check the password length. If the directory allows anonymous binds then it may incorrectly authenticate a user who supplies an empty password.,CWE-287,Improper Authentication
CVE-2012-1724,"['maven:xerces:xerces', 'maven:xerces:xercesImpl']","['oracle jre', 'oracle jdk', 'sun jdk', 'sun jre']","Unspecified vulnerability in the Java Runtime Environment (JRE) component in Oracle Java SE 7 update 4 and earlier, and 6 update 32 and earlier, allows remote attackers to affect availability, related to JAXP.",,
CVE-2013-4310,"['maven:org.apache.struts:struts2-rest-plugin', 'maven:org.apache.struts:struts2-core']",['apache struts'],Apache Struts 2.0.0 through 2.3.15.1 allows remote attackers to bypass access controls via a crafted action: prefix.,,
CVE-2020-7792,"['maven:org.webjars:mout', 'maven:org.webjars.npm:mout']",['moutjs mout'],"This affects all versions of package mout. The deepFillIn function can be used to 'fill missing properties recursively', while the deepMixIn 'mixes objects into the target object, recursively mixing existing child objects as well'. In both cases, the key used to access the target object recursively is not checked, leading to a Prototype Pollution.",CWE-1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')
CVE-2020-26945,"['maven:org.apache.servicemix.bundles:org.apache.servicemix.bundles.mybatis', 'maven:org.mybatis:mybatis']",['mybatis mybatis'],MyBatis before 3.5.6 mishandles deserialization of object streams.,CWE-502,Deserialization of Untrusted Data
CVE-2016-0762,"['maven:tomcat:catalina', 'maven:org.apache.tomcat:tomcat-catalina', 'maven:org.apache.tomcat:catalina', 'maven:org.apache.tomcat.embed:tomcat-embed-core']","['apache tomcat', 'canonical ubuntu_linux', 'debian debian_linux', 'redhat enterprise_linux_desktop', 'redhat enterprise_linux_workstation', 'redhat enterprise_linux_server', 'redhat enterprise_linux_server_aus', 'redhat jboss_enterprise_web_server', 'redhat enterprise_linux_eus', 'redhat enterprise_linux_server_tus', 'netapp snap_creator_framework', 'netapp oncommand_insight', 'netapp oncommand_shift', 'oracle communications_diameter_signaling_router', 'oracle tekelec_platform_distribution']","The Realm implementations in Apache Tomcat versions 9.0.0.M1 to 9.0.0.M9, 8.5.0 to 8.5.4, 8.0.0.RC1 to 8.0.36, 7.0.0 to 7.0.70 and 6.0.0 to 6.0.45 did not process the supplied password if the supplied user name did not exist. This made a timing attack possible to determine valid user names. Note that the default configuration includes the LockOutRealm which makes exploitation of this vulnerability harder.",CWE-203,Observable Discrepancy
CVE-2018-1256,['maven:io.pivotal.spring.cloud:spring-cloud-sso-connector'],['vmware spring_cloud_sso_connector'],"Spring Cloud SSO Connector, version 2.1.2, contains a regression which disables issuer validation in resource servers that are not bound to the SSO service. In PCF deployments with multiple SSO service plans, a remote attacker can authenticate to unbound resource servers which use this version of the SSO Connector with tokens generated from another service plan.",,
CVE-2018-1284,"['maven:org.apache.hive:hive-service', 'maven:org.apache.hive:hive', 'maven:org.apache.hive:hive-exec']",['apache hive'],"In Apache Hive 0.6.0 to 2.3.2, malicious user might use any xpath UDFs (xpath/xpath_string/xpath_boolean/xpath_number/xpath_double/xpath_float/xpath_long/xpath_int/xpath_short) to expose the content of a file on the machine running HiveServer2 owned by HiveServer2 user (usually hive) if hive.server2.enable.doAs=false.",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2020-13953,['maven:org.apache.tapestry:tapestry-core'],['apache tapestry'],"In Apache Tapestry from 5.4.0 to 5.5.0, crafting specific URLs, an attacker can download files inside the WEB-INF folder of the WAR being run.",CWE-552,Files or Directories Accessible to External Parties
CVE-2018-16131,"['maven:com.typesafe.akka:akka-http-core_2.12', 'maven:com.typesafe.akka:akka-http-core_2.11', 'maven:com.typesafe.akka:akka-http_2.11']",['lightbend akka_http'],The decodeRequest and decodeRequestWith directives in Lightbend Akka HTTP 10.1.x through 10.1.4 and 10.0.x through 10.0.13 allow remote attackers to cause a denial of service (memory consumption and daemon crash) via a ZIP bomb.,CWE-400,Uncontrolled Resource Consumption
CVE-2019-16540,['maven:org.jenkins-ci.plugins:support-core'],['jenkins support_core'],A path traversal vulnerability in Jenkins Support Core Plugin 2.63 and earlier allows attackers with Overall/Read permission to delete arbitrary files on the Jenkins master.,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
