redhat jgroups	Product redhat jgroups
CVE-2018-1000413	cross-site scripting vulnerability exists Jenkins Config File Provider Plugin 3.1 earlier configfiles.jelly , providerlist.jelly allows users ability configure configuration files insert arbitrary HTML pages Jenkins .
apache fortress	Product apache fortress
CVE-2020-11976	crafting special URL possible make Wicket deliver unprocessed HTML templates . would allow attacker see possibly sensitive information inside HTML template usually removed rendering . Affected Apache Wicket versions 7.16.0 , 8.8.0 9.0.0-M5
CVE-2013-1921	PicketBox , used Red Hat JBoss Enterprise Application Platform 6.1.1 , allows local users obtain admin encryption key reading Vault data file .
CWE-362	Concurrent Execution using Shared Resource Improper Synchronization ( 'Race Condition ' )
CVE-2017-1000503	race condition Jenkins 2.81 2.94 ( inclusive ) ; 2.89.1 startup could result wrong order execution commands initialization . could rare cases result failure initialize setup wizard first startup . resulted multiple security-related settings set usual strict default .
CVE-2019-16550	cross-site request forgery vulnerability connection test form method Jenkins Maven Release Plugin 0.16.1 earlier allows attackers Jenkins connect attacker specified web server parse XML documents .
pivotal_software cloud_foundry_cf-release	Product pivotal_software cloud_foundry_cf-release
pivotal_software cloud_foundry_cf-deployment	Product pivotal_software cloud_foundry_cf-deployment
CVE-2018-1192	Cloud Foundry Foundation cf-release versions prior v285 ; cf-deployment versions prior v1.7 ; UAA 4.5.x versions prior 4.5.5 , 4.8.x versions prior 4.8.3 , 4.7.x versions prior 4.7.4 ; UAA-release 45.7.x versions prior 45.7 , 52.7.x versions prior 52.7 , 53.3.x versions prior 53.3 , SessionID logged audit event logs . attacker use SessionID impersonate logged-in user .
CVE-2019-10356	sandbox bypass vulnerability Jenkins Script Security Plugin 1.61 earlier related handling method pointer expressions allowed attackers execute arbitrary code sandboxed scripts .
mortbay jetty	Product mortbay jetty
CVE-2009-4611	Mort Bay Jetty 6.x 6.1.22 7.0.0 writes backtrace data without sanitizing non-printable characters , might allow remote attackers modify window 's title , possibly execute arbitrary commands overwrite files , via HTTP request containing escape sequence terminal emulator , related ( 1 ) string value Age parameter default URI Cookie Dump Servlet test-jetty-webapp/src/main/java/com/acme/CookieDump.java cookie/ , ( 2 ) alphabetic value parameter jsp/expr.jsp , ( 3 ) alphabetic value Content-Length HTTP header arbitrary application .
jenkins jira_issue_updater	Product jenkins jira_issue_updater
CVE-2019-1003054	Jenkins Jira Issue Updater Plugin stores credentials unencrypted job config.xml files Jenkins master viewed users Extended Read permission , access master file system .
url-regex_project url-regex	Product url-regex_project url-regex
CVE-2020-7661	versions url-regex vulnerable Regular Expression Denial Service . attacker providing long string String.test cause Denial Service .
CVE-2019-10384	Jenkins 2.191 earlier , LTS 2.176.2 earlier allowed users obtain CSRF tokens without associated web session ID , resulting CSRF tokens expire could used bypass CSRF protection anonymous user .
CVE-2020-2163	Jenkins 2.227 earlier , LTS 2.204.5 earlier improperly processes HTML content list view column headers , resulting stored XSS vulnerability exploitable users able control column headers .
CVE-2020-36188	FasterXML jackson-databind 2.x 2.9.10.8 mishandles interaction serialization gadgets typing , related com.newrelic.agent.deps.ch.qos.logback.core.db.JNDIConnectionSource .
CVE-2015-1808	Jenkins 1.600 LTS 1.596.1 allows remote authenticated users cause denial service ( improper plug-in tool installation ) via crafted update center data .
CVE-2018-1999044	denial service vulnerability exists Jenkins 2.137 earlier , 2.121.2 earlier CronTab.java allows attackers Overall/Read permission request handling thread enter infinite loop .
CVE-2019-1003035	information exposure vulnerability exists Jenkins Azure VM Agents Plugin 0.8.0 earlier src/main/java/com/microsoft/azure/vmagent/AzureVMAgentTemplate.java , src/main/java/com/microsoft/azure/vmagent/AzureVMCloud.java allows attackers Overall/Read permission perform 'verify configuration ' form validation action , thereby obtaining limited information Azure configuration .
CVE-2018-8010	vulnerability Apache Solr 6.0.0 6.6.3 , 7.0.0 7.3.0 relates XML external entity expansion ( XXE ) Solr config files ( solrconfig.xml , schema.xml , managed-schema ) . addition , Xinclude functionality provided config files also affected similar way . vulnerability used XXE using file/ftp/http protocols order read arbitrary local files Solr server internal network . Users advised upgrade either Solr 6.6.4 Solr 7.3.1 releases address vulnerability . upgrade complete , steps required . releases allow external entities Xincludes refer local files / zookeeper resources Solr instance directory ( using Solr 's ResourceLoader ) ; usage absolute URLs denied . Keep mind , external entities XInclude explicitly supported better structure config files large installations . Solr 6 problem , config files accessible APIs .
dot-prop_project dot-prop	Product dot-prop_project dot-prop
CVE-2020-8116	Prototype pollution vulnerability dot-prop npm package versions 4.2.1 versions 5.x 5.1.1 allows attacker add arbitrary properties JavaScript language constructs objects .
eclipse jetty	Product eclipse jetty
oracle siebel_core_-_automation	Product oracle siebel_core_-_automation
oracle rest_data_services	Product oracle rest_data_services
netapp santricity_cloud_connector	Product netapp santricity_cloud_connector
netapp e-series_performance_analyzer	Product netapp e-series_performance_analyzer
netapp e-series_santricity_storage	Product netapp e-series_santricity_storage
netapp santricity_web_services_proxy	Product netapp santricity_web_services_proxy
netapp storage_replication_adapter_for_clustered_data_ontap	Product netapp storage_replication_adapter_for_clustered_data_ontap
netapp e-series_santricity_web_services	Product netapp e-series_santricity_web_services
CVE-2021-28165	Eclipse Jetty 7.2.2 9.4.38 , 10.0.0.alpha0 10.0.1 , 11.0.0.alpha0 11.0.1 , CPU usage reach 100 % upon receiving large invalid TLS frame .
apache zeppelin	Product apache zeppelin
CVE-2017-12619	Apache Zeppelin prior 0.7.3 vulnerable session fixation allowed attacker hijack valid user session . Issue reported `` stone lone '' .
CWE-665	Improper Initialization
CVE-2022-21724	pgjdbc offical PostgreSQL JDBC Driver . security hole found jdbc driver postgresql database security research . system using postgresql library attacked attacker control jdbc url properties . pgjdbc instantiates plugin instances based class names provided via ` authenticationPluginClassName ` , ` sslhostnameverifier ` , ` socketFactory ` , ` sslfactory ` , ` sslpasswordcallback ` connection properties . However , driver verify class implements expected interface instantiating class . lead code execution loaded via arbitrary classes . Users using plugins advised upgrade . known workarounds issue .
jenkins pmd	Product jenkins pmd
CVE-2018-1000008	Jenkins PMD Plugin 3.49 earlier processes XML external entities files parses part build process , allowing attackers user permissions Jenkins extract secrets Jenkins master , perform server-side request forgery , denial-of-service attacks .
jenkins openshift_deployer	Product jenkins openshift_deployer
CVE-2019-1003080	cross-site request forgery vulnerability Jenkins OpenShift Deployer Plugin DeployApplication.DeployApplicationDescriptor # doCheckLogin form validation method allows attackers initiate connection attacker-specified server .
jenkins octopusdeploy	Product jenkins octopusdeploy
CVE-2019-1003027	server-side request forgery vulnerability exists Jenkins OctopusDeploy Plugin 1.8.1 earlier OctopusDeployPlugin.java allows attackers Overall/Read permission Jenkins connect attacker-specified URL obtain HTTP response code successful , exception error message otherwise .
yargs yargs-parser	Product yargs yargs-parser
CVE-2020-7608	yargs-parser could tricked adding modifying properties Object.prototype using `` __proto__ '' payload .
checkstyle checkstyle	Product checkstyle checkstyle
CVE-2019-9658	Checkstyle 8.18 loads external DTDs default .
jenkins tracetronic_ecu-test	Product jenkins tracetronic_ecu-test
CVE-2018-1999026	server-side request forgery vulnerability exists Jenkins TraceTronic ECU-TEST Plugin 2.3 earlier ATXPublisher.java allows attackers Jenkins send HTTP requests attacker-specified host .
CVE-2020-1928	information disclosure vulnerability found Apache NiFi 1.10.0 . sensitive parameter parser would log parsed values debugging purposes . would expose literal values entered sensitive property parameter present .
morgan_project morgan	Product morgan_project morgan
CVE-2019-5413	attacker use format parameter inject arbitrary commands npm package morgan < 1.9.1 .
redhat virtualization_manager	Product redhat virtualization_manager
f5 big-iq_centralized_management	Product f5 big-iq_centralized_management
f5 iworkflow	Product f5 iworkflow
f5 big-ip_analytics	Product f5 big-ip_analytics
f5 big-ip_local_traffic_manager	Product f5 big-ip_local_traffic_manager
f5 big-ip_application_acceleration_manager	Product f5 big-ip_application_acceleration_manager
f5 big-ip_advanced_firewall_manager	Product f5 big-ip_advanced_firewall_manager
f5 big-ip_access_policy_manager	Product f5 big-ip_access_policy_manager
f5 big-ip_application_security_manager	Product f5 big-ip_application_security_manager
f5 big-ip_domain_name_system	Product f5 big-ip_domain_name_system
f5 big-ip_fraud_protection_service	Product f5 big-ip_fraud_protection_service
f5 big-ip_global_traffic_manager	Product f5 big-ip_global_traffic_manager
f5 big-ip_link_controller	Product f5 big-ip_link_controller
f5 big-ip_policy_enforcement_manager	Product f5 big-ip_policy_enforcement_manager
f5 big-ip_edge_gateway	Product f5 big-ip_edge_gateway
f5 big-ip_webaccelerator	Product f5 big-ip_webaccelerator
f5 big-ip_application_visibility_and_reporting	Product f5 big-ip_application_visibility_and_reporting
CVE-2019-10744	Versions lodash lower 4.17.12 vulnerable Prototype Pollution . function defaultsDeep could tricked adding modifying properties Object.prototype using constructor payload .
CVE-2012-4441	Cross-site Scripting ( XSS ) Jenkins main 1.482 LTS 1.466.2 allows remote attackers inject arbitrary web script HTML CI game plugin .
redhat hawtjni	Product redhat hawtjni
CVE-2013-2035	Race condition hawtjni-runtime/src/main/java/org/fusesource/hawtjni/runtime/Library.java HawtJNI 1.8 , custom library path specified , allows local users execute arbitrary Java code overwriting temporary JAR file predictable name /tmp .
snakeyaml_project snakeyaml	Product snakeyaml_project snakeyaml
oracle peoplesoft_enterprise_pt_peopletools	Product oracle peoplesoft_enterprise_pt_peopletools
CVE-2017-18640	Alias feature SnakeYAML 1.18 allows entity expansion load operation , related issue CVE-2003-1564 .
safer-eval_project safer-eval	Product safer-eval_project safer-eval
CVE-2019-10769	safer-eval npm package sandbox evaluation code used within eval function . Affected versions package vulnerable Arbitrary Code Execution via generating RangeError .
CVE-2019-16556	Jenkins Rundeck Plugin 3.6.5 earlier stores credentials unencrypted global configuration file job config.xml files Jenkins master viewed users Extended Read permission , access master file system .
CVE-2019-16147	Liferay Portal 7.2.0 GA1 allows XSS via journal article title journal_article/page.jsp journal/journal-taglib .
CVE-2017-1000080	Linux foundation ONOS 1.9.0 allows unauthenticated use websockets .
jenkins veracode-scanner	Product jenkins veracode-scanner
CVE-2019-1003070	Jenkins veracode-scanner Plugin stores credentials unencrypted global configuration file Jenkins master viewed users access master file system .
jenkins icescrum	Product jenkins icescrum
CVE-2019-10441	cross-site request forgery vulnerability Jenkins iceScrum Plugin 1.1.5 earlier allowed attackers connect attacker-specified URL using attacker-specified credentials .
apache httpclient	Product apache httpclient
apache httpasyncclient	Product apache httpasyncclient
CVE-2014-3577	org.apache.http.conn.ssl.AbstractVerifier Apache HttpComponents HttpClient 4.3.5 HttpAsyncClient 4.0.2 properly verify server hostname matches domain name subject 's Common Name ( CN ) subjectAltName field X.509 certificate , allows man-in-the-middle attackers spoof SSL servers via `` CN= '' string field distinguished name ( DN ) certificate , demonstrated `` foo , CN=www.apache.org '' string field .
CVE-2013-6348	Multiple cross-site scripting ( XSS ) vulnerabilities Apache Struts 2.3.15.3 allow remote attackers inject arbitrary web script HTML via namespace parameter ( 1 ) actionNames.action ( 2 ) showConfig.action config-browser/ .
CVE-2018-8029	Apache Hadoop versions 3.0.0-alpha1 3.1.0 , 2.9.0 2.9.1 , 2.2.0 2.8.4 , user escalate yarn user possibly run arbitrary commands root user .
jenkins badge	Product jenkins badge
CVE-2018-1000604	persisted cross-site scripting vulnerability exists Jenkins Badge Plugin 1.4 earlier BadgeSummaryAction.java , HtmlBadgeAction.java allows attackers able control build badge content define JavaScript would executed another user 's browser user performs UI actions .
apache zookeeper	Product apache zookeeper
CVE-2017-5637	Two four letter word commands `` wchp/wchc '' CPU intensive could cause spike CPU utilization Apache ZooKeeper server abused , leads server unable serve legitimate client requests . Apache ZooKeeper thru version 3.4.9 3.5.2 suffer issue , fixed 3.4.10 , 3.5.3 , later .
CVE-2013-7330	Jenkins 1.502 allows remote authenticated users configure otherwise restricted project via vectors related post-build actions .
CVE-2020-9548	FasterXML jackson-databind 2.x 2.9.10.4 mishandles interaction serialization gadgets typing , related br.com.anteros.dbcp.AnterosDBCPConfig ( aka anteros-core ) .
CVE-2016-6347	Cross-site scripting ( XSS ) vulnerability default exception handler RESTEasy allows remote attackers inject arbitrary web script HTML via unspecified vectors .
CVE-2020-11111	FasterXML jackson-databind 2.x 2.9.10.4 mishandles interaction serialization gadgets typing , related org.apache.activemq . * ( aka activemq-jms , activemq-core , activemq-pool , activemq-pool-jms ) .
CVE-2015-2918	Studio component OrientDB Server Community Edition 2.0.15 2.1.x 2.1.1 properly restrict use FRAME elements , makes easier remote attackers conduct clickjacking attacks via crafted web site .
CVE-2018-14040	Bootstrap 4.1.2 , XSS possible collapse data-parent attribute .
CVE-2009-4612	Multiple cross-site scripting ( XSS ) vulnerabilities WebApp JSP Snoop page Mort Bay Jetty 6.1.x 6.1.21 allow remote attackers inject arbitrary web script HTML via PATH_INFO default URI ( 1 ) jspsnoop/ , ( 2 ) jspsnoop/ERROR/ , ( 3 ) jspsnoop/IOException/ , possibly PATH_INFO ( 4 ) snoop.jsp .
jyaml_project jyaml	Product jyaml_project jyaml
CVE-2020-8441	JYaml 1.3 allows remote code execution deserialization malicious payload load ( ) function . NOTE : discontinued product .
CVE-2018-8008	Apache Storm version 1.0.6 earlier , 1.2.1 earlier , version 1.1.2 earlier expose arbitrary file write vulnerability , achieved using specially crafted zip archive ( affects archives well , bzip2 , tar , xz , war , cpio , 7z ) , holds path traversal filenames . filename gets concatenated target extraction directory , final path ends outside target folder .
xuxueli xxl-conf	Product xuxueli xxl-conf
CVE-2018-20094	issue discovered XXL-CONF 1.6.0 . path traversal vulnerability via .. / keys parameter download configuration file , related ConfController.java PropUtil.java .
CVE-2021-39148	XStream simple library serialize objects XML back . affected versions vulnerability may allow remote attacker load execute arbitrary code remote host manipulating processed input stream . user affected , followed recommendation setup XStream 's security framework whitelist limited minimal required types . XStream 1.4.18 uses longer blacklist default , since secured general purpose .
CVE-2013-2254	deepGetOrCreateNode function impl/operations/AbstractCreateOperation.java org.apache.sling.servlets.post.bundle 2.2.0 2.3.0 Apache Sling properly handle NULL value returned session permissions root node , allows remote attackers cause denial service ( infinite loop ) via unspecified vectors .
jenkins sounds	Product jenkins sounds
CVE-2020-2097	Jenkins Sounds Plugin 0.5 earlier perform permission checks URLs performing form validation , allowing attackers Overall/Read access execute arbitrary OS commands OS user account running Jenkins .
CVE-2018-11770	version 1.3.0 onward , Apache Spark 's standalone master exposes REST API job submission , addition submission mechanism used spark-submit . standalone , config property 'spark.authenticate.secret ' establishes shared secret authenticating requests submit jobs via spark-submit . However , REST API use authentication mechanism , adequately documented . case , user would able run driver program without authenticating , launch executors , using REST API . REST API also used Mesos , set run cluster mode ( i.e. , also running MesosClusterDispatcher ) , job submission . Future versions Spark improve documentation points , prohibit setting 'spark.authenticate.secret ' running REST APIs , make clear . Future versions also disable REST API default standalone master changing default value 'spark.master.rest.enabled ' 'false ' .
mathjax mathjax	Product mathjax mathjax
CVE-2018-1999024	MathJax version prior version 2.7.4 contains Cross Site Scripting ( XSS ) vulnerability \unicode { } macro result Potentially untrusted Javascript running within web browser . attack appear exploitable via victim must view page untrusted content processed using Mathjax . vulnerability appears fixed 2.7.4 later .
jenkins s3_publisher	Product jenkins s3_publisher
CVE-2020-2114	Jenkins S3 publisher Plugin 0.11.4 earlier transmits configured credentials plain text part global Jenkins configuration form , potentially resulting exposure .
CVE-2019-10400	sandbox bypass vulnerability Jenkins Script Security Plugin 1.62 earlier related handling subexpressions increment decrement expressions involving actual assignment allowed attackers execute arbitrary code sandboxed scripts .
mediaelementjs mediaelement.js	Product mediaelementjs mediaelement.js
wordpress wordpress	Product wordpress wordpress
CVE-2016-4567	Cross-site scripting ( XSS ) vulnerability flash/FlashMediaElement.as MediaElement.js 2.21.0 , used WordPress 4.5.2 , allows remote attackers inject arbitrary web script HTML via obfuscated form jsinitfunction parameter , demonstrated `` jsinitfunctio % gn . ''
jenkins deploy	Product jenkins deploy
CVE-2017-1000113	Deploy container Plugin stored passwords unencrypted part configuration . allowed users Jenkins master local file system access , users Extended Read access jobs used , retrieve passwords . Deploy container Plugin integrates Credentials Plugin store passwords securely , automatically migrates existing passwords .
xuxueli xxl-job	Product xuxueli xxl-job
CVE-2020-29204	XXL-JOB 2.2.0 allows Stored XSS ( Add User ) bypass 20-character limit via xxl-job-admin/src/main/java/com/xxl/job/admin/controller/UserController.java .
oracle goldengate_stream_analytics	Product oracle goldengate_stream_analytics
CVE-2019-0222	Apache ActiveMQ 5.0.0 - 5.15.8 , unmarshalling corrupt MQTT frame lead broker Memory exception making unresponsive .
jenkins flaky_test_handler	Product jenkins flaky_test_handler
CVE-2020-2237	cross-site request forgery ( CSRF ) vulnerability Jenkins Flaky Test Handler Plugin 1.0.4 earlier allows attackers rebuild project previous git revision .
mycolorway simditor	Product mycolorway simditor
CVE-2018-19048	Simditor 2.3.21 allows DOM XSS via onload attribute within malformed SVG element .
jenkins sidebar_link	Product jenkins sidebar_link
CVE-2017-1000088	Sidebar Link plugin allows users able configure jobs , views , agents add entries sidebar objects . input validation , meant users able use javascript : schemes links .
apache heron	Product apache heron
CVE-2020-1964	noticed Apache Heron 0.20.2-incubating , Release 0.20.1-incubating , Release v-0.20.0-incubating configure YAML parser prevent instantiation arbitrary types , resulting remote code execution vulnerabilities ( CWE-502 : Deserialization Untrusted Data ) .
CVE-2017-12623	authorized user could upload template contained malicious code accessed sensitive files via XML External Entity ( XXE ) attack . fix properly handle XML External Entities applied Apache NiFi 1.4.0 release . Users running prior 1.x release upgrade appropriate release .
jenkins google_login	Product jenkins google_login
CVE-2018-1000173	session fixaction vulnerability exists Jenkins Google Login Plugin 1.3 older GoogleOAuth2SecurityRealm.java allows unauthorized attackers impersonate another user control pre-authentication session .
CVE-2013-2160	streaming XML parser Apache CXF 2.5.x 2.5.10 , 2.6.x 2.6.7 , 2.7.x 2.7.4 allows remote attackers cause denial service ( CPU memory consumption ) via crafted XML large number ( 1 ) elements , ( 2 ) attributes , ( 3 ) nested constructs , possibly vectors .
CVE-2017-11608	heap-based buffer over-read Sass : :Prelexer : :re_linebreak function lexer.cpp LibSass 3.4.5 . crafted input lead remote denial service attack .
CVE-2019-1003009	improper certificate validation vulnerability exists Jenkins Active Directory Plugin 2.10 earlier src/main/java/hudson/plugins/active_directory/ActiveDirectoryDomain.java , src/main/java/hudson/plugins/active_directory/ActiveDirectorySecurityRealm.java , src/main/java/hudson/plugins/active_directory/ActiveDirectoryUnixAuthenticationProvider.java allows attackers impersonate Active Directory server Jenkins connects authentication Jenkins configured use StartTLS .
CVE-2017-7665	Apache NiFi 0.7.4 1.x 1.3.0 , certain user input components UI guarding forms XSS issues insufficient .
CVE-2017-5657	Several REST service endpoints Apache Archiva protected Cross Site Request Forgery ( CSRF ) attacks . malicious site opened browser archiva site , may send HTML response performs arbitrary actions archiva services , rights active archiva session ( e.g . administrator rights ) .
exist-db exist	Product exist-db exist
CVE-2018-1000823	exist version < = 5.0.0-RC4 contains XML External Entity ( XXE ) vulnerability XML Parser REST Server result Disclosure confidential data , denial service , SSRF , port scanning .
apache rocketmq	Product apache rocketmq
CVE-2019-17572	Apache RocketMQ 4.2.0 4.6.0 , automatic topic creation broker turned default , evil topic like “ .. / .. / .. / .. /topic2020 ” sent rocketmq-client broker , topic folder created parent directory brokers , leads directory traversal vulnerability . Users affected versions apply one following : Upgrade Apache RocketMQ 4.6.1 later .
CVE-2017-1000504	race condition Jenkins 2.94 earlier ; 2.89.1 earlier startup could result wrong order execution commands initialization . short window time startup Jenkins may longer show 'Please wait Jenkins getting ready work ' message Cross-Site Request Forgery ( CSRF ) protection may yet effective .
CVE-2020-12480	Play Framework 2.6.0 2.8.1 , CSRF filter bypassed making CORS simple requests content types contain parameters ca n't parsed .
CVE-2020-2255	missing permission check Jenkins Blue Ocean Plugin 1.23.2 earlier allows attackers Overall/Read permission connect attacker-specified URL .
apache commons_beanutils	Product apache commons_beanutils
oracle customer_management_and_segmentation_foundation	Product oracle customer_management_and_segmentation_foundation
oracle financial_services_revenue_management_and_billing_analytics	Product oracle financial_services_revenue_management_and_billing_analytics
oracle hospitality_opera_5	Product oracle hospitality_opera_5
oracle agile_product_lifecycle_management_integration_pack	Product oracle agile_product_lifecycle_management_integration_pack
oracle insurance_data_gateway	Product oracle insurance_data_gateway
oracle real-time_decisions_solutions	Product oracle real-time_decisions_solutions
CVE-2019-10086	Apache Commons Beanutils 1.9.2 , special BeanIntrospector class added allows suppressing ability attacker access classloader via class property available Java objects . , however using default characteristic PropertyUtilsBean .
revealjs reveal.js	Product revealjs reveal.js
CVE-2020-8127	Insufficient validation cross-origin communication ( postMessage ) reveal.js version 3.9.1 earlier allow attackers perform cross-site scripting attacks .
CVE-2015-5175	Application plugins Apache CXF Fediz 1.1.3 1.2.x 1.2.1 allow remote attackers cause denial service .
CVE-2017-4974	issue discovered Cloud Foundry Foundation cf-release versions prior v258 ; UAA release 2.x versions prior v2.7.4.15 , 3.6.x versions prior v3.6.9 , 3.9.x versions prior v3.9.11 , versions prior v3.16.0 ; UAA bosh release ( uaa-release ) 13.x versions prior v13.13 , 24.x versions prior v24.8 , versions prior v30.1 . authorized user use blind SQL injection attack query contents UAA database , aka `` Blind SQL Injection privileged UAA endpoints . ''
CVE-2017-2603	Jenkins versions 2.44 , 2.32.2 vulnerable user data leak disconnected agents ' config.xml API . could leak sensitive data API tokens ( SECURITY-362 ) .
apache batik	Product apache batik
oracle api_gateway	Product oracle api_gateway
oracle hyperion_financial_reporting	Product oracle hyperion_financial_reporting
oracle retail_order_management_system_cloud_service	Product oracle retail_order_management_system_cloud_service
CVE-2019-17566	Apache Batik vulnerable server-side request forgery , caused improper input validation `` xlink : href '' attributes . using specially-crafted argument , attacker could exploit vulnerability cause underlying server make arbitrary GET requests .
jenkins fortify_on_demand	Product jenkins fortify_on_demand
CVE-2019-10449	Jenkins Fortify Demand Plugin stores credentials unencrypted job config.xml files Jenkins master viewed users Extended Read permission , access master file system .
CVE-2017-12633	camel-hessian component Apache Camel 2.x 2.19.4 2.20.x 2.20.1 vulnerable Java object de-serialisation vulnerability . De-serializing untrusted data lead security flaws .
CVE-2020-2187	Jenkins Amazon EC2 Plugin 1.50.1 earlier unconditionally accepts self-signed certificates perform hostname validation , enabling man-in-the-middle attacks .
jenkins embeddable_build_status	Product jenkins embeddable_build_status
CVE-2019-10346	reflected cross site scripting vulnerability Jenkins Embeddable Build Status Plugin 2.0.1 earlier allowed attackers inject arbitrary HTML JavaScript response plugin .
CVE-2012-6092	Multiple cross-site scripting ( XSS ) vulnerabilities web demos Apache ActiveMQ 5.8.0 allow remote attackers inject arbitrary web script HTML via ( 1 ) refresh parameter PortfolioPublishServlet.java ( aka demo/portfolioPublish Market Data Publisher ) , vectors involving ( 2 ) debug logs ( 3 ) subscribe messages webapp/websocket/chat.js . NOTE : AMQ-4124 covered CVE-2012-6551 .
apache cayenne	Product apache cayenne
CVE-2022-24289	Hessian serialization network protocol supports object-based transmission . Apache Cayenne 's optional Remote Object Persistence ( ROP ) feature web services-based technology provides object persistence query functionality 'remote ' applications . Apache Cayenne 4.1 earlier , running non-current patch versions Java , attacker client access Cayenne ROP transmit malicious payload vulnerable third-party dependency server . result arbitrary code execution .
CVE-2017-3206	Java implementation AMF3 deserializers used Flamingo amf-serializer Exadel , version 2.2.0 , allows external entity references ( XXEs ) XML documents embedded within AMF3 messages . XML parsing handled incorrectly could potentially expose sensitive data server , denial service , server side request forgery .
CVE-2019-7619	Elasticsearch versions 7.0.0-7.3.2 6.7.0-6.8.3 contain username disclosure flaw found API Key service . unauthenticated attacker could send specially crafted request determine username exists Elasticsearch native realm .
jenkins job_dsl	Product jenkins job_dsl
CVE-2019-1003034	sandbox bypass vulnerability exists Jenkins Job DSL Plugin 1.71 earlier job-dsl-core/src/main/groovy/javaposse/jobdsl/dsl/AbstractDslScriptLoader.groovy , job-dsl-plugin/build.gradle , job-dsl-plugin/src/main/groovy/javaposse/jobdsl/plugin/JobDslWhitelist.groovy , job-dsl-plugin/src/main/groovy/javaposse/jobdsl/plugin/SandboxDslScriptLoader.groovy allows attackers control Job DSL definitions execute arbitrary code Jenkins master JVM .
vt cryptacular	Product vt cryptacular
CVE-2020-7226	CiphertextHeader.java Cryptacular 1.2.3 , used Apereo CAS products , allows attackers trigger excessive memory allocation decode operation , nonce array length associated `` new byte '' may depend untrusted input within header encoded data .
jenkins favorite_plugin	Product jenkins favorite_plugin
CVE-2017-1000243	Jenkins Favorite Plugin 2.1.4 older perform permission checks changing favorite status , allowing user set user 's favorites
CVE-2019-12416	got reports 2 injection attacks DeltaSpike windowhandler.js . active developer selected ClientSideWindowStrategy default .
akka akka	Product akka akka
CVE-2017-1000034	Akka versions < =2.4.16 2.5-M1 vulnerable java deserialization attack Remoting component resulting remote code execution context ActorSystem .
CWE-662	Improper Synchronization
jenkins convertigo_mobile_platform	Product jenkins convertigo_mobile_platform
CVE-2022-25210	Jenkins Convertigo Mobile Platform Plugin 1.1 earlier uses static fields store job configuration information , allowing attackers Item/Configure permission capture passwords jobs configured .
oracle banking_enterprise_originations	Product oracle banking_enterprise_originations
oracle communications_diameter_signaling_router_idih\\	Product oracle communications_diameter_signaling_router_idih\\
CVE-2019-12415	Apache POI 4.1.0 , using tool XSSFExportToXml convert user-provided Microsoft Excel documents , specially crafted document allow attacker read files local filesystem internal network resources via XML External Entity ( XXE ) Processing .
steve_souza java_application_monitor	Product steve_souza java_application_monitor
CVE-2013-6235	Multiple cross-site scripting ( XSS ) vulnerabilities JAMon ( Java Application Monitor ) 2.7 earlier allow remote attackers inject arbitrary web script HTML via ( 1 ) listenertype ( 2 ) currentlistener parameter mondetail.jsp ArraySQL parameter ( 3 ) mondetail.jsp , ( 4 ) jamonadmin.jsp , ( 5 ) sql.jsp , ( 6 ) exceptions.jsp .
CVE-2020-36184	FasterXML jackson-databind 2.x 2.9.10.8 mishandles interaction serialization gadgets typing , related org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource .
CVE-2010-4265	org.jboss.remoting.transport.bisocket.BisocketServerInvoker $ SecondaryServerSocketThread.run method JBoss Remoting 2.2.x 2.2.3.SP4 2.5.x 2.5.3.SP2 Red Hat JBoss Enterprise Application Platform ( aka JBoss EAP JBEAP ) 4.3 4.3.0.CP09 allows remote attackers cause denial service ( daemon outage ) establishing bisocket control connection TCP session , sending application data , related missing CVE-2010-3862 patch . NOTE : considered duplicate CVE-2010-3862 missing patch assigned separate CVE identifier .
redhat xerces	Product redhat xerces
CVE-2020-14338	flaw found Wildfly 's implementation Xerces , specifically way XMLSchemaValidator class JAXP component Wildfly enforced `` use-grammar-pool-only '' feature . flaw allows specially-crafted XML file manipulate validation process certain cases . issue flaw CVE-2020-14621 , affected OpenJDK , uses similar code . flaw affects Xerces JBoss versions 2.12.0.SP3 .
CVE-2017-12964	stack consumption issue LibSass 3.4.5 triggered function Sass : :Eval : :operator ( ) eval.cpp . lead remote denial service attack .
apache brooklyn	Product apache brooklyn
CVE-2016-8744	Apache Brooklyn uses SnakeYAML library parsing YAML inputs . SnakeYAML allows use YAML tags indicate SnakeYAML unmarshal data Java type . default configuration Brooklyn 0.10.0 , SnakeYAML allow unmarshalling Java type available classpath . could provide authenticated user means cause JVM running Brooklyn load run Java code without detection Brooklyn . code would privileges Java process running Brooklyn , including ability open files network connections , execute system commands . known proof-of-concept exploit using vulnerability .
CVE-2019-10101	JetBrains Kotlin versions 1.3.30 resolving artifacts using http connection build process , potentially allowing MITM attack .
CVE-2021-25329	fix CVE-2020-9484 incomplete . using Apache Tomcat 10.0.0-M1 10.0.0 , 9.0.0.M1 9.0.41 , 8.5.0 8.5.61 7.0.0. 7.0.107 configuration edge case highly unlikely used , Tomcat instance still vulnerable CVE-2020-9494 . Note previously published prerequisites CVE-2020-9484 previously published mitigations CVE-2020-9484 also apply issue .
